id,stepik_id,title,summary,url,difficulty,learners_count,rating,tags,embedding,created_at,updated_at,is_paid,price
19,277557,Профессия ИИ-инженер: от нейросетей до AI-систем,"Комплексная программа подготовки ИИ-инженеров. Вы последовательно освоите прикладную работу с нейросетями, профессиональный промпт-инжиниринг, создание AI-агентов и автоматизацию бизнес-процессов на базе LLM и n8n, а затем системно упакуете свои навыки для выхода на рынок — от первых проектов до трудоустройства или работы с заказчиками.",https://stepik.org/course/277557,normal,40,0,"[""Информационные технологии"",""Личностный рост"",""Цифровая грамотность"",""Технологии и инновации"",""Искусственный интеллект"",""Навыки работы с ИИ"",""Бизнес и менеджмент"",""Развитие бизнеса"",""Управление бизнес-процессами""]",,2026-03-12T17:48:50.113389+00:00,2026-03-14T11:24:35.338184+00:00,True,25900.0
313,277517,Pandas для аналитиков: начинающий курс,"Пошаговый курс по pandas для начинающих аналитиков: теория, практика, автопроверка и финальный проект с разбором.",https://stepik.org/course/277517,easy,195,0,"[""Информационные технологии"",""Языки программирования"",""Python"",""Фреймворки и библиотеки"",""Pandas"",""Аналитика и исследование данных"",""Наука о данных""]",,2026-03-14T10:49:51.081663+00:00,2026-03-14T11:24:35.344638+00:00,False,
82,277482,Профессия промт-инженер,"Комплексная программа подготовки промт-инженера. Вы освоите системное применение нейросетей в работе и бизнесе, архитектуру промтов, паттерны работы с LLM и получите пошаговый план выхода на рынок — от позиционирования до оффера.
Это цельная траектория развития: навык — практика — результат.",https://stepik.org/course/277482,normal,26,0,"[""Информационные технологии"",""Разработка программного обеспечения"",""Аналитика и исследование данных"",""Наука о данных"",""Нейронные сети"",""Личностный рост"",""Цифровая грамотность"",""Технологии и инновации"",""Искусственный интеллект"",""Навыки работы с ИИ""]",,2026-03-12T19:02:57.879774+00:00,2026-03-14T11:24:35.346458+00:00,True,14900.0
143,276076,Тесты по тестированию ПО для подготовки к собеседованиям,"Этот курс для тестировщиков, которые хотят систематизировать знания и уверенно пройти собеседование. Вы повторите ключевые темы: теорию тестирования, SQL, API, REST, gRPC, GraphQL, Postman, тест-дизайн, брокеры сообщений и инструменты разработчика. В основе курса интерактивные тесты с разбором ответов, имитирующие реальные вопросы работодателей. Цель - это не просто проверить, а закрепить понимание материала через практику.",https://stepik.org/course/276076,normal,28,0,"[""Информационные технологии"",""Разработка программного обеспечения"",""Тестирование ПО"",""Личностный рост"",""Карьерный рост "",""Поиск работы: резюме и собеседования""]",,2026-03-12T19:02:57.97038+00:00,2026-03-14T11:24:35.460526+00:00,True,2990.0
150,275945,Аналитик продаж. Тест в Excel при собеседовании.,"Тест в Excel для аналитика продаж. За один час, в файле с готовыми исходными данными необходимо заполнить аналитическую таблицу формулами расчёта. В первом модуле - бесплатный тест. Во втором платном модуле - разбор решения, возможность скачать файл с формулами расчёта и дополнительный тест. ",https://stepik.org/course/275945,normal,1,0,"[""Информационные технологии"",""Аналитика и исследование данных"",""Бизнес и менеджмент"",""Бизнес-анализ"",""Личностный рост"",""Карьерный рост "",""Поиск работы: резюме и собеседования""]",,2026-03-12T19:02:57.97958+00:00,2026-03-14T11:24:35.468614+00:00,True,500.0
152,275903,Excel MS  с нуля для начинающих Таблица | Формулы | LibreOffice,"Excel для новичков: первый шаг в мир данных

LibreOffice Calc
Научитесь работать в Excel без страха и ошибок. Всего за несколько занятий вы освоите интерфейс, научитесь форматировать таблицы, использовать автозаполнение и базовые формулы. Курс идеально подходит для офисных сотрудников, студентов и всех, кто хочет повысить свою компьютерную грамотность. Никакой ""воды"" — только необходимый минимум для старта.",https://stepik.org/course/275903,easy,125,0,"[""Учебные и академические дисциплины"",""Личностный рост"",""Цифровая грамотность"",""Excel и Google Таблицы"",""Информатика"",""Школьные предметы"",""Microsoft Office""]",,2026-03-12T19:02:57.982165+00:00,2026-03-14T11:24:35.470867+00:00,True,690.0
85,277390,"ИНФОРМАТИКА ЕГЭ 2026 | 22, 23 Задание | Курс |  EXCEL | Python","Цель: Изучить с 22 по 23 задания ЕГЭ по информатике. Превратить их в надёжный и предсказуемый фундамент для высокой оценки.

Научитесь работать в Excel без страха и ошибок. Всего за несколько занятий вы освоите интерфейс, научитесь форматировать таблицы, использовать автозаполнение и базовые формулы. Курс идеально подходит для офисных сотрудников, студентов и всех, кто хочет повысить свою компьютерную грамотность. Никакой ""воды"" — только необходимый минимум для старта.",https://stepik.org/course/277390,easy,49,0,"[""Информационные технологии"",""Языки программирования"",""Python"",""Введение в программирование"",""Учебные и академические дисциплины"",""Личностный рост"",""Цифровая грамотность"",""Excel и Google Таблицы"",""Подготовка к экзаменам"",""Выпускные экзамены в школе"",""Подготовка к ЕГЭ"",""Информатика"",""Школьные предметы""]",,2026-03-12T19:02:57.892587+00:00,2026-03-14T11:24:35.354408+00:00,True,490.0
95,277052,SEO-специалист: Создание статей для топовых позиций и AI-ответов,"🥇🏆🥇Практический курс по созданию SEO-оптимизированных статей, которые занимают топовые позиции в поиске, попадают в AI-ответы и становятся вирусными. Без воды, только проверенные техники и инструменты. Вы освоите основы сбора семантического ядра, LSI‑оптимизацию, структуру статьи и анализ метрик. В курсе открыто 2 модуля из 4.",https://stepik.org/course/277052,,3,0,"[""Информационные технологии"",""Разработка программного обеспечения"",""Написание текстов в сфере UX"",""Бизнес и менеджмент"",""Маркетинг"",""Интернет-маркетинг"",""SEO-маркетинг"",""Контент-маркетинг"",""Работа с текстами""]",,2026-03-12T19:02:57.906196+00:00,2026-03-14T11:24:35.371631+00:00,True,1850.0
102,276943,Ботаника. Зоология. Эволюция и Экология💚,"Этот курс — полный и структурированный разбор следующих разделов биологии: ботаники, зоологии, экологии и эволюции, необходимых для успешной сдачи ЕГЭ по биологии.

Материал подаётся простым языком, с опорой на логику, схемы и экзаменационные формулировки.

Каждая тема закрепляется заданиями трёх уровней сложности, чтобы вы уверенно двигались от базы к высоким баллам.",https://stepik.org/course/276943,normal,7,0,"[""Подготовка к экзаменам"",""Выпускные экзамены в школе"",""Подготовка к ЕГЭ""]",,2026-03-12T19:02:57.91568+00:00,2026-03-14T11:24:35.383359+00:00,True,100.0
116,276718,"Autodesk Revit 2026: Металлические конструкции (вкладка ""Сталь"")","Моделирование стального каркаса здания с помощью компонентов вкладки ""Сталь"" с последующим созданием ведомостей металла, оформлением чертежей и выпуском рабочих листов. В курсе используются плагины Titan и ModPlus для автоматизации рутинных операций. Финальная сборка 25 марта.",https://stepik.org/course/276718,,41,0,"[""Дизайн и медиа "",""3d-моделирование"",""Досуг"",""Сад и огород"",""Инженерное дело"",""Гражданское строительство"",""Инженерное проектирование и моделирование"",""Autodesk Revit"",""Архитектура"",""Градостроительство""]",,2026-03-12T19:02:57.934013+00:00,2026-03-14T11:24:35.411285+00:00,True,12000.0
118,276685,"Зависть: навигатор ваших желаний (психология, самопомощь)","Вы когда-нибудь ловили себя на том, что листаете ленту и думаете:
«Почему у всех всё есть, а у меня нет?», а потом сразу — «Фу, какой я гадкий, завидовать нехорошо»?

СТОП. А что, если зависть — это не проклятие, а встроенный сканер ваших истинных желаний?

Этот мини-курс — практикум без воды. Мы разберем зависть по косточкам: зачем она нужна, на какие ценности указывает и как превратить токсичное чувство в пошаговый план действий.

Хватит себя ругать. Научитесь расшифровывать сигналы своей психики!",https://stepik.org/course/276685,easy,1,0,"[""Учебные и академические дисциплины"",""Социальные и гуманитарные науки"",""Психология"",""Гибкие навыки"",""Навыки коммуникации"",""Разрешение конфликтов"",""Критическое мышление"",""Здоровье и безопасность"",""Психическое здоровье""]",,2026-03-12T19:02:57.9365+00:00,2026-03-14T11:24:35.416036+00:00,True,500.0
123,276482,Чистая архитектура на практике: проектирование систем с FastAPI,"Курс по Чистой Архитектуре на Python и FastAPI, основанный на идеях Роберта Мартина. Это — следующий шаг для тех, кто прошёл базовые курсы, но не понимает, куда двигаться дальше. Он даёт архитектурное мышление, которое позволяет уверенно строить проекты любого масштаба и стека. Django и FastAPI, монолиты и микросервисы. Чистая Архитектура снова объединяет эти лагеря в одну систему координат. 

Фреймворк перестаёт играть ключевую роль — Основная логика пишется на чистом Python.",https://stepik.org/course/276482,easy,213,0,"[""Информационные технологии"",""Языки программирования"",""Python"",""Фреймворки и библиотеки"",""Парадигмы программирования"",""Объектно-ориентированное программирование"",""Функциональное программирование"",""Разработка программного обеспечения"",""Архитектура ПО"",""Микросервисы"",""FastAPI""]",,2026-03-12T19:02:57.943107+00:00,2026-03-14T11:24:35.425322+00:00,False,
127,276397,Спортивный массаж (растяжка),"Научитесь снимать мышечное напряжение, ускорять реабилитацию и предотвращать травмы у спортсменов. Это логичное продолжение после общего массажа: техники растяжки и проработки глубоких мышц для максимальной производительности.

Уже владеете базой? Дополните навыки спортивным массажем. Хотите с нуля? Освойте сразу два курса (общий + спортивный) по выгодной цене. Станьте востребованным специалистом!",https://stepik.org/course/276397,easy,3,0,"[""Здоровье и безопасность"",""Здоровый образ жизни"",""Личностный рост"",""Здоровье и фитнес""]",,2026-03-12T19:02:57.948906+00:00,2026-03-14T11:24:35.438258+00:00,True,1000.0
